KY_DANG_HOC,TUOI,GIOI_TINH,DOI_TUONG_HOC,KHAC_NGANH_YN,MA_KHOI_NGANH_DA_TN,DIEM_TB_TICH_LUY,SO_LAN_DANG_NHAP,QUI_MO_LOP_HOC,TY_LE_DROP_OUT_KY_TRUOC,MAU
3,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,4.4,3,54,0,XANH
3,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,54,0,XANH
3,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,54,0,XANH
3,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,4.4,3,54,0,XANH
3,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,54,0,XANH
3,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,54,0,XANH
3,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,4.4,3,54,0,XANH
3,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,54,0,XANH
3,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,54,0,XANH
3,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,4.4,3,54,0,VANG
3,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,54,0,VANG
3,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,54,0,VANG
3,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,4.4,3,54,0,DO
3,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,54,0,DO
3,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,54,0,DO
3,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,4.4,3,54,0,DO
3,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,54,0,DO
3,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,54,0,DO
3,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,4.4,3,54,0,DO
3,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,54,0,DO
3,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,54,0,DO
4,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,4.4,3,54,0,XANH
4,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,54,0,XANH
4,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,54,0,XANH
4,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,4.4,3,54,0,XANH
4,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,54,0,XANH
4,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,54,0,XANH
4,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,4.4,3,54,0,XANH
4,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,54,0,XANH
4,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,54,0,XANH
4,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,4.4,3,54,0,VANG
4,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,54,0,VANG
4,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,54,0,VANG
4,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,4.4,3,54,0,DO
4,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,54,0,DO
4,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,54,0,DO
4,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,4.4,3,54,0,DO
4,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,54,0,DO
4,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,54,0,DO
4,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,4.4,3,54,0,DO
4,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,54,0,DO
4,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,54,0,DO
5,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,4.4,3,54,0,XANH
5,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,54,0,XANH
5,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,54,0,XANH
5,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,4.4,3,54,0,XANH
5,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,54,0,XANH
5,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,54,0,XANH
5,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,4.4,3,54,0,XANH
5,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,54,0,XANH
5,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,54,0,XANH
5,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,4.4,3,54,0,VANG
5,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,54,0,VANG
5,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,54,0,VANG
5,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,4.4,3,54,0,DO
5,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,54,0,DO
5,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,54,0,DO
5,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,4.4,3,54,0,DO
5,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,54,0,DO
5,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,54,0,DO
5,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,4.4,3,54,0,DO
5,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,54,0,DO
5,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,54,0,DO
6,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,4.4,3,54,0,XANH
6,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,54,0,XANH
6,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,54,0,XANH
6,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,4.4,3,54,0,XANH
6,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,54,0,XANH
6,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,54,0,XANH
6,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,4.4,3,54,0,XANH
6,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,54,0,XANH
6,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,54,0,XANH
6,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,4.4,3,54,0,VANG
6,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,54,0,VANG
6,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,54,0,VANG
6,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,4.4,3,54,0,DO
6,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,54,0,DO
6,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,54,0,DO
6,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,4.4,3,54,0,DO
6,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,54,0,DO
6,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,54,0,DO
6,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,4.4,3,54,0,DO
6,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,54,0,DO
6,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,54,0,DO
3,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,4.4,3,24,0,XANH
3,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,24,0,XANH
3,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,24,0,XANH
3,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,4.4,3,24,0,XANH
3,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,24,0,XANH
3,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,24,0,XANH
3,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,4.4,3,24,0,XANH
3,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,24,0,XANH
3,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,24,0,XANH
3,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,4.4,3,24,0,VANG
3,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,24,0,VANG
3,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,24,0,VANG
3,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,4.4,3,24,0,DO
3,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,24,0,DO
3,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,24,0,DO
3,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,4.4,3,24,0,DO
3,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,24,0,DO
3,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,24,0,DO
3,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,4.4,3,24,0,DO
3,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,24,0,DO
3,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,24,0,DO
4,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,4.4,3,24,0,XANH
4,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,24,0,XANH
4,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,24,0,XANH
4,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,4.4,3,24,0,XANH
4,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,24,0,XANH
4,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,24,0,XANH
4,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,4.4,3,24,0,XANH
4,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,24,0,XANH
4,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,24,0,XANH
4,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,4.4,3,24,0,VANG
4,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,24,0,VANG
4,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,24,0,VANG
4,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,4.4,3,24,0,DO
4,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,24,0,DO
4,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,24,0,DO
4,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,4.4,3,24,0,DO
4,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,24,0,DO
4,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,24,0,DO
4,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,4.4,3,24,0,DO
4,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,24,0,DO
4,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,24,0,DO
5,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,4.4,3,24,0,XANH
5,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,24,0,XANH
5,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,24,0,XANH
5,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,4.4,3,24,0,XANH
5,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,24,0,XANH
5,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,24,0,XANH
5,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,4.4,3,24,0,XANH
5,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,24,0,XANH
5,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,24,0,XANH
5,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,4.4,3,24,0,VANG
5,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,24,0,VANG
5,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,24,0,VANG
5,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,4.4,3,24,0,DO
5,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,24,0,DO
5,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,24,0,DO
5,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,4.4,3,24,0,DO
5,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,24,0,DO
5,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,24,0,DO
5,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,4.4,3,24,0,DO
5,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,24,0,DO
5,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,24,0,DO
6,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,4.4,3,24,0,XANH
6,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,24,0,XANH
6,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,24,0,XANH
6,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,4.4,3,24,0,XANH
6,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,24,0,XANH
6,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,24,0,XANH
6,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,4.4,3,24,0,XANH
6,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,24,0,XANH
6,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,24,0,XANH
6,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,4.4,3,24,0,VANG
6,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,24,0,VANG
6,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,24,0,VANG
6,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,4.4,3,24,0,DO
6,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,24,0,DO
6,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,24,0,DO
6,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,4.4,3,24,0,DO
6,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,24,0,DO
6,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,24,0,DO
6,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,4.4,3,24,0,DO
6,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,24,0,DO
6,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,24,0,DO
7,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,4.4,3,24,0,XANH
7,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,24,0,XANH
7,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,24,0,XANH
7,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,4.4,3,24,0,XANH
7,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,24,0,XANH
7,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,24,0,XANH
7,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,4.4,3,24,0,XANH
7,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,24,0,XANH
7,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,24,0,XANH
7,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,4.4,3,24,0,VANG
7,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,24,0,VANG
7,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,24,0,VANG
7,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,4.4,3,24,0,DO
7,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,24,0,DO
7,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,24,0,DO
7,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,4.4,3,24,0,DO
7,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,24,0,DO
7,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,24,0,DO
7,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,4.4,3,24,0,DO
7,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,24,0,DO
7,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,24,0,DO
4,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,4.4,3,24,0.416666667,XANH
4,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,24,0.416666667,XANH
4,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,24,0.416666667,XANH
4,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,4.4,3,24,0.416666667,XANH
4,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,24,0.416666667,XANH
4,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,24,0.416666667,XANH
4,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,4.4,3,24,0.416666667,XANH
4,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,24,0.416666667,XANH
4,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,24,0.416666667,XANH
4,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,4.4,3,24,0.416666667,VANG
4,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,24,0.416666667,VANG
4,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,24,0.416666667,VANG
4,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,4.4,3,24,0.416666667,DO
4,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,24,0.416666667,DO
4,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,24,0.416666667,DO
4,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,4.4,3,24,0.416666667,DO
4,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,24,0.416666667,DO
4,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,24,0.416666667,DO
4,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,4.4,3,24,0.416666667,DO
4,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,24,0.416666667,DO
4,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,24,0.416666667,DO
5,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,4.4,3,24,0.416666667,XANH
5,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,24,0.416666667,XANH
5,34,NAM,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0,3,24,0.416666667,XANH
