32,0,TRUNG_CAP_CUNG_NGANH,N,KHOI_NGANH_CHUA_BIET,0
28,0,VAN_BANG_HAI,N,KHOI_NGANH_CHUA_BIET,0
31,0,VAN_BANG_HAI,N,KHOA_HOC_TU_NHIEN,0
23,0,DOI_TUONG_KHONG_BIET,Y,KHOI_NGANH_CHUA_BIET,0
44,1,VAN_BANG_HAI,N,KHOA_HOC_TU_NHIEN,0
24,0,CAO_DANG,Y,KINH_TE,0
37,1,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0
26,1,TRUNG_CAP_CUNG_NGANH,N,KHOA_HOC_TU_NHIEN,0
28,0,DOI_TUONG_KHONG_BIET,Y,KHOI_NGANH_CHUA_BIET,0
26,0,TRUNG_CAP_CUNG_NGANH,N,KINH_TE,0
30,1,TRUNG_CAP_CUNG_NGANH,Y,KHOA_HOC_TU_NHIEN,0
24,1,CAO_DANG,Y,KHOA_HOC_TU_NHIEN,0
34,1,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0
32,0,VAN_BANG_HAI,N,KHOA_HOC_TU_NHIEN,0
31,1,TRUNG_HOC_PHO_THONG,N,KHOI_NGANH_THPT,0
23,1,DIPLOMA,N,KHOA_HOC_TU_NHIEN,0
24,1,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0
27,0,VAN_BANG_HAI,N,KHOI_NGANH_CHUA_BIET,0
25,0,DIPLOMA,N,KHOA_HOC_TU_NHIEN,0
30,1,VAN_BANG_HAI,N,KHOA_HOC_TU_NHIEN,0
32,1,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0
27,0,VAN_BANG_HAI,N,KHOA_HOC_TU_NHIEN,0
25,1,TRUNG_HOC_PHO_THONG,N,KHOI_NGANH_THPT,0
24,1,CAO_DANG,N,KHOI_NGANH_CHUA_BIET,0
24,1,VAN_BANG_HAI,Y,KHOI_NGANH_CHUA_BIET,0
24,1,TRUNG_CAP_CUNG_NGANH,N,KHOA_HOC_TU_NHIEN,0
24,0,VAN_BANG_HAI,N,KHOA_HOC_TU_NHIEN,0
28,0,VAN_BANG_HAI,Y,KHOA_HOC_XA_HOI_NHAN_VAN,0
28,0,TRUNG_CAP_KHAC_NGANH,Y,KHOA_HOC_TU_NHIEN,0
25,0,CAO_DANG,Y,KHOI_NGANH_CHUA_BIET,0
25,1,VAN_BANG_HAI,Y,KHOA_HOC_XA_HOI_NHAN_VAN,0
26,1,CAO_DANG,Y,KHOA_HOC_TU_NHIEN,0
29,0,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0
23,1,DIPLOMA,N,KHOA_HOC_TU_NHIEN,0
36,1,CAO_DANG,Y,KHOA_HOC_TU_NHIEN,0
23,1,DIPLOMA,N,KHOA_HOC_TU_NHIEN,0
26,0,VAN_BANG_HAI,N,KHOI_NGANH_CHUA_BIET,0
37,0,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,0
26,1,CAO_DANG,Y,KHOA_HOC_TU_NHIEN,0
25,0,CAO_DANG,N,KINH_TE,1
29,1,CAO_DANG,N,KINH_TE,1
27,0,CAO_DANG,N,KINH_TE,1
25,0,CAO_DANG,N,KINH_TE,1
28,0,CAO_DANG,N,KINH_TE,1
29,0,CAO_DANG,N,KINH_TE,1
30,0,CAO_DANG,N,KINH_TE,1
25,0,CAO_DANG,N,KINH_TE,1
26,0,CAO_DANG,N,KINH_TE,1
28,0,CAO_DANG,N,KINH_TE,1
24,0,CAO_DANG,N,KINH_TE,1
24,0,CAO_DANG,N,KHOA_HOC_XA_HOI_NHAN_VAN,1
26,0,CAO_DANG,N,KINH_TE,1
27,0,CAO_DANG,N,KINH_TE,1
25,0,CAO_DANG,N,KINH_TE,1
26,0,CAO_DANG,N,KINH_TE,1
25,0,CAO_DANG,N,KINH_TE,1
33,0,VAN_BANG_HAI,Y,NGOAI_NGU,1
28,1,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,1
34,0,VAN_BANG_HAI,Y,NGOAI_NGU,1
24,1,DIPLOMA,N,KHOA_HOC_TU_NHIEN,1
29,1,VAN_BANG_HAI,Y,KHOA_HOC_XA_HOI_NHAN_VAN,1
29,1,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,1
41,1,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,1
28,1,VAN_BANG_HAI,Y,KHOA_HOC_XA_HOI_NHAN_VAN,1
38,0,VAN_BANG_HAI,Y,KHOA_HOC_XA_HOI_NHAN_VAN,1
28,1,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,1
48,1,VAN_BANG_HAI,Y,NGOAI_NGU,1
28,1,VAN_BANG_HAI,Y,KHOA_HOC_TU_NHIEN,1
30,1,CAO_DANG,Y,KINH_TE,1
27,1,CAO_DANG,N,KINH_TE,1
29,1,CAO_DANG,N,KINH_TE,1
24,0,CAO_DANG,N,KINH_TE,1
27,1,CAO_DANG,N,KINH_TE,1
36,1,CAO_DANG,N,KINH_TE,1
27,1,CAO_DANG,N,KINH_TE,1
24,1,CAO_DANG,N,KINH_TE,1
24,1,CAO_DANG,N,KINH_TE,1
26,0,CAO_DANG,N,KINH_TE,1
