X1_TUOI_HOC_VIEN,X2_GIOI_TINH,X3_BANG_TOT_NGHIEP_CAP_3_LOAI,X14_DOI_TUONG_HOC,KHAC_NGANH_YN,MA_KHOI_NGANH_DA_TOT_NGHIEP,Y3_TRANG_THAI_HOC_VIEN
31,1,Khong Biet,TRUNG_HOC_PHO_THONG,Ch?a bi?t,KHOI_NGANH_THPT,0
28,1,Khong Biet,DIPLOMA,Ch?a bi?t,KHOI_NGANH_THPT,0
23,0,Khong Biet,CAO_DANG,Ch?a bi?t,KINH_TE,0
22,0,Khong Biet,TRUNG_HOC_PHO_THONG,Ch?a bi?t,KHOI_NGANH_THPT,0
30,1,Khong Biet,TRUNG_HOC_PHO_THONG,Ch?a bi?t,KHOI_NGANH_THPT,0
27,1,Khong Biet,CAO_DANG,Ch?a bi?t,KHOA_HOC_TU_NHIEN,0
27,0,Khong Biet,VAN_BANG_HAI,Ch?a bi?t,KINH_TE,0
30,0,Khong Biet,VAN_BANG_HAI,Ch?a bi?t,KHOA_HOC_TU_NHIEN,0
30,1,Khong Biet,VAN_BANG_HAI,Ch?a bi?t,KHOI_NGANH_CHUA_BIET,0
32,1,Khong Biet,TRUNG_HOC_PHO_THONG,Ch?a bi?t,KHOI_NGANH_THPT,0
30,0,Khong Biet,TRUNG_HOC_PHO_THONG,Ch?a bi?t,KHOI_NGANH_THPT,0
32,1,Khong Biet,VAN_BANG_HAI,Ch?a bi?t,KHOA_HOC_TU_NHIEN,0
32,1,Khong Biet,CAO_DANG,Ch?a bi?t,KHOA_HOC_TU_NHIEN,0
21,1,Khong Biet,DIPLOMA,Ch?a bi?t,KHOI_NGANH_THPT,0
25,0,Khong Biet,TRUNG_HOC_PHO_THONG,Ch?a bi?t,KHOI_NGANH_THPT,0
29,1,Khong Biet,TRUNG_HOC_PHO_THONG,Ch?a bi?t,KHOI_NGANH_THPT,0
27,1,Khong Biet,TRUNG_HOC_PHO_THONG,Ch?a bi?t,KHOI_NGANH_THPT,0
27,0,Khong Biet,CAO_DANG,Ch?a bi?t,KINH_TE,0
31,0,Khong Biet,TRUNG_HOC_PHO_THONG,Ch?a bi?t,KHOI_NGANH_THPT,0
20,1,Khong Biet,TRUNG_HOC_PHO_THONG,Ch?a bi?t,KHOI_NGANH_THPT,0
34,0,Khong Biet,VAN_BANG_HAI,Ch?a bi?t,KINH_TE,0
22,0,Khong Biet,DIPLOMA,Ch?a bi?t,KHOI_NGANH_THPT,0
26,1,Khong Biet,VAN_BANG_HAI,Ch?a bi?t,KHOA_HOC_TU_NHIEN,0
28,0,Khong Biet,TRUNG_CAP_CUNG_NGANH,Ch?a bi?t,KINH_TE,0
28,0,Khong Biet,CAO_DANG,Ch?a bi?t,KHOA_HOC_TU_NHIEN,0
27,1,Khong Biet,CAO_DANG,Ch?a bi?t,KINH_TE,0
